matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
1,02.11.2000,20:00,Al-Ettifaq,Al Riyadh,1,0,
2,02.11.2000,20:00,Al Najma,Al-Nassr,0,1,
3,03.11.2000,20:00,Al Ahli SC,Al Ansar,3,0,
4,07.11.2000,20:00,Al Qadisiya,Sdoos,0,3,
5,08.11.2000,20:00,Al Wehda,Al-Shabab,1,0,
6,08.11.2000,20:00,Al Najma,Al Ahli SC,0,1,
7,12.11.2000,20:00,Al-Ittihad FC,Sdoos,1,0,
8,12.11.2000,20:00,Al Riyadh,Al-Shabab,1,0,
9,15.11.2000,20:00,Al-Ettifaq,Al Ahli SC,2,2,
10,15.11.2000,20:00,Al Ansar,Al Najma,3,3,
11,16.11.2000,20:00,Al Qadisiya,Al Wehda,2,2,
12,19.11.2000,20:00,Al-Ittihad FC,Al Ansar,3,1,
13,22.11.2000,20:00,Al Wehda,Sdoos,1,0,
14,22.11.2000,20:00,Al Riyadh,Al Qadisiya,2,1,
15,22.11.2000,20:00,Al Najma,Al-Ittihad FC,0,4,
16,22.11.2000,20:00,Al Ansar,Al-Ettifaq,2,0,
17,26.11.2000,20:00,Al Riyadh,Sdoos,0,1,
18,27.11.2000,20:00,Al-Hilal,Al Ansar,0,0,
19,27.11.2000,20:00,Al-Ettifaq,Al Najma,4,0,
20,27.11.2000,20:00,Al Wehda,Al-Ittihad FC,3,4,
21,28.11.2000,20:00,Al-Shabab,Al Ahli SC,0,0,
22,28.11.2000,20:00,Al Qadisiya,Al-Nassr,1,3,
23,01.12.2000,20:00,Al-Nassr,Sdoos,3,0,
24,01.12.2000,20:00,Al-Ettifaq,Al-Ittihad FC,2,0,
25,01.12.2000,20:00,Al Wehda,Al Riyadh,1,0,
26,01.12.2000,20:00,Al Ahli SC,Al Qadisiya,3,1,
27,02.12.2000,20:00,Al-Shabab,Al Ansar,3,2,
28,04.12.2000,20:00,Al-Nassr,Al Wehda,0,0,
29,05.12.2000,20:00,Sdoos,Al Ahli SC,1,1,
30,06.12.2000,20:00,Al-Ittihad FC,Al Riyadh,0,0,
31,06.12.2000,20:00,Al Ansar,Al Qadisiya,1,0,
32,07.12.2000,20:00,Al-Shabab,Al Najma,1,0,
33,09.12.2000,20:00,Sdoos,Al Ansar,1,2,
34,09.12.2000,20:00,Al Ahli SC,Al Wehda,3,0,
35,10.12.2000,20:00,Al-Nassr,Al Riyadh,0,1,
36,10.12.2000,20:00,Al-Ettifaq,Al-Shabab,1,1,
37,11.12.2000,20:00,Al Qadisiya,Al Najma,1,1,
38,13.12.2000,20:00,Al Riyadh,Al Ahli SC,1,1,
39,14.12.2000,20:00,Sdoos,Al Najma,0,0,
